product_name,product_price
"POCO M3 (Cool Blue, 64 GB)","₹10,999"
"Realme X7 (Space Silver, 128 GB)","₹19,999"
"POCO M3 (Power Black, 128 GB)","₹11,999"
"Realme Narzo 20A (Glory Silver, 64 GB)","₹9,499"
"Realme Narzo 20A (Glory Silver, 32 GB)","₹8,499"
"POCO M3 (Power Black, 64 GB)","₹10,999"
"Realme X7 (Space Silver, 128 GB)","₹21,999"
"Realme C11 (Rich Green, 32 GB)","₹7,499"
"Realme C11 (Rich Grey, 32 GB)","₹7,499"
"Redmi 9i (Nature Green, 64 GB)","₹7,999"
"Infinix Smart HD 2021 (Quartz Green, 32 GB)","₹6,199"
"Redmi 9 Prime (Space Blue, 64 GB)","₹9,499"
"Realme Narzo 20 (Glory Silver, 128 GB)","₹11,499"
"Realme Narzo 20 (Victory Blue, 128 GB)","₹11,499"
"Realme Narzo 20 (Victory Blue, 64 GB)","₹10,499"
"Redmi 9 Prime (Mint Green, 64 GB)","₹9,499"
"Realme 7i (Fusion Blue, 64 GB)","₹11,999"
"Realme 7i (Fusion Green, 64 GB)","₹11,999"
"POCO M3 (Cool Blue, 128 GB)","₹11,999"
"POCO M3 (Yellow, 128 GB)","₹11,999"
"Infinix Smart 5 (Obsidian Black, 32 GB)","₹7,199"
"Infinix Smart 5 (Aegean Blue, 32 GB)","₹7,199"
"Infinix Smart 5 (Morandi Green, 32 GB)","₹7,199"
"POCO M2 (Brick Red, 128 GB)","₹10,999"
"Infinix Note 7 (Forest Green, 64 GB)","₹9,999"
"Samsung Galaxy F62 (Laser Grey, 128 GB)","₹23,999"
"Infinix Note 7 (Aether Black, 64 GB)","₹9,999"
"POCO C3 (Arctic Blue, 64 GB)","₹8,499"
"POCO C3 (Matte Black, 64 GB)","₹8,499"
"Samsung Galaxy F62 (Laser Blue, 128 GB)","₹25,999"
"Realme C15 (Power Blue, 64 GB)","₹10,999"
"Realme C15 (Power Silver, 64 GB)","₹10,999"
"Redmi Note 9 Pro Max (Interstellar Black, 64 GB)","₹14,999"
"Realme Narzo 20 Pro (Black Ninja, 128 GB)","₹16,999"
"Realme Narzo 20 Pro (White Knight, 128 GB)","₹16,999"
"Samsung Galaxy F62 (Laser Green, 128 GB)","₹23,999"
"Realme X7 (Nebula, 128 GB)","₹19,999"
"POCO M2 Pro (Green and Greener, 64 GB)","₹12,999"
"Realme C15 (Power Blue, 32 GB)","₹9,999"
"Samsung Galaxy F62 (Laser Blue, 128 GB)","₹23,999"
"Realme C15 (Power Silver, 32 GB)","₹9,999"
"POCO M2 Pro (Green and Greener, 64 GB)","₹13,999"
"Realme 6 (Comet White, 64 GB)","₹14,999"
"Realme 6 (Comet Blue, 64 GB)","₹14,999"
"Realme C12 (Power Blue, 64 GB)","₹9,999"
"Samsung Galaxy F62 (Laser Grey, 128 GB)","₹25,999"
"Realme C12 (Power Silver, 64 GB)","₹9,999"
"POCO M2 (Slate Blue, 64 GB)","₹9,999"
"Redmi 9i (Midnight Black, 64 GB)","₹7,999"
"POCO M3 (Yellow, 64 GB)","₹10,999"
"Infinix Hot 10 (Ocean Wave, 64 GB)","₹9,499"
"Infinix Hot 10 (Ocean Wave, 128 GB)","₹10,999"
"Infinix Hot 10 (Moonlight Jade, 64 GB)","₹9,499"
"Infinix Hot 10 (Amber Red, 64 GB)","₹9,499"
"Infinix Hot 10 (Obsidian Black, 64 GB)","₹9,499"
"Infinix Hot 10 (Amber Red, 128 GB)","₹10,999"
"Realme Narzo 20 Pro (Black Ninja, 64 GB)","₹14,999"
"Realme Narzo 20 Pro (White Knight, 64 GB)","₹14,999"
"Infinix Smart 4 Plus (Midnight Black, 32 GB)","₹7,999"
"Infinix Smart 4 Plus (Quetzal Cyan, 32 GB)","₹7,999"
"Infinix Smart 4 Plus (Ocean Wave, 32 GB)","₹7,999"
"Redmi 9 Prime (Matte Black, 64 GB)","₹9,499"
"Infinix Hot 10 (Moonlight Jade, 128 GB)","₹10,999"
"Infinix Hot 10 (Obsidian Black, 128 GB)","₹10,999"
"Infinix Smart 4 Plus (Violet, 32 GB)","₹7,999"
"Realme C12 (Power Blue, 32 GB)","₹8,999"
"Realme C12 (Power Silver, 32 GB)","₹8,999"
"Redmi 9 Prime (Sunrise Flare, 64 GB)","₹9,499"
"Realme 7 (Mist Blue, 64 GB)","₹14,999"
"Realme 7 (Mist Blue, 128 GB)","₹16,999"
"POCO C3 (Lime Green, 32 GB)","₹7,499"
"POCO C3 (Arctic Blue, 32 GB)","₹7,499"
product_name,product_price
"POCO M2 (Slate Blue, 64 GB)","₹9,999"
"Realme Narzo 20A (Glory Silver, 64 GB)","₹9,499"
"Realme C11 (Rich Green, 32 GB)","₹7,499"
"Realme Narzo 20 (Glory Silver, 128 GB)","₹11,499"
"POCO M2 Pro (Green and Greener, 64 GB)","₹12,999"
"POCO C3 (Arctic Blue, 32 GB)","₹7,499"
"POCO C3 (Matte Black, 64 GB)","₹8,499"
"POCO M3 (Cool Blue, 64 GB)","₹10,999"
"Realme X7 (Space Silver, 128 GB)","₹19,999"
"Samsung Galaxy F41 (Fusion Green, 128 GB)","₹16,499"
"POCO M3 (Power Black, 128 GB)","₹11,999"
"Apple iPhone SE (Black, 64 GB) (Includes EarPods, Power Adapter)","₹34,999"
"Realme X7 (Space Silver, 128 GB)","₹21,999"
"Redmi 9i (Nature Green, 64 GB)","₹7,999"
"Infinix Smart HD 2021 (Topaz Blue, 32 GB)","₹6,199"
"Infinix Smart HD 2021 (Quartz Green, 32 GB)","₹6,199"
"Redmi 9 Prime (Space Blue, 64 GB)","₹9,499"
"Realme 7i (Fusion Green, 64 GB)","₹11,999"
"Realme 7i (Fusion Blue, 64 GB)","₹11,999"
"POCO M3 (Cool Blue, 128 GB)","₹11,999"
"Redmi 9i (Midnight Black, 64 GB)","₹7,999"
"POCO M2 (Brick Red, 128 GB)","₹10,999"
"POCO M3 (Yellow, 64 GB)","₹10,999"
"Infinix Hot 10 (Ocean Wave, 64 GB)","₹9,499"
"Samsung M01 core (Blue, 32 GB)","₹6,068"
Itel Ace,₹779
Micromax X512,₹945
Itel Ace,₹779
"Redmi 8A Dual (Sea Blue, 32 GB)","₹7,499"
"Samsung Galaxy A31 (Prism Crush Black, 128 GB)","₹17,999"
BlackZone M6,₹749
Lava GEM,"₹1,595"
I Kall K444,"₹1,099"
Micromax X381,₹861
"Micromax IN 1b (Purple, 32 GB)","₹6,999"
"Redmi Note 8 (Space Black, 64 GB)","₹12,999"
"Redmi 9A (Sea Blue, 32 GB)","₹7,855"
Lava A5,"₹1,206"
Samsung Metro 313 Dual Sim,"₹2,290"
Itel IT2163,₹849
Itel IT2163,₹849
"Mi 10T (Cosmic Black, 128 GB)","₹34,999"
"OPPO F17 Pro (Matte Black, 128 GB)","₹21,490"
"OPPO F17 Pro (Metallic White, 128 GB)","₹21,490"
"OPPO A12 (Blue, 64 GB)","₹11,490"
Kechaoda K10,₹851
Kechaoda K10,₹854
Nokia 216/216 DS,"₹2,758"
"Redmi 9 (Sky Blue, 64 GB)","₹9,528"
Micromax X817,"₹1,480"
Micromax X817,"₹1,451"
Nokia 105,"₹1,158"
"Redmi Note 9 (Pebble Grey, 128 GB)","₹13,343"
"Redmi Note 9 (Scarlet Red, 64 GB)","₹12,944"
"Redmi Note 9 (Scarlet Red, 128 GB)","₹14,378"
"Vivo Y91i (Fusion Black, 32 GB)","₹8,490"
"Samsung Galaxy M31 (Space Black, 64 GB)","₹15,928"
Kechaoda K112,"₹1,315"
Kechaoda K112,"₹1,309"
Nokia 150 DS 2020,"₹2,299"
"Lava Z66 (Berry Red, 32 GB)","₹6,877"
"Redmi 9i (Midnight Black, 128 GB)","₹9,299"
ANGAGE A106,₹639
ANGAGE A106,₹639
"Vivo S1 Pro (Dreamy White, 128 GB)","₹18,990"
Gfive A2,₹659
Lava A1,₹931
Lava A1,₹931
Lava A1,₹931
Lava A1,₹931
Micromax X746,"₹1,328"
"Vivo Y11 (Agate Red, 32 GB)","₹9,490"
Snexian Rock,"₹1,299"
"Redmi Note 9 Pro (Aurora Blue, 128 GB)","₹14,440"
Micromax X817,"₹1,466"
"Realme 6i (Lunar White, 64 GB)","₹13,999"
Karbonn Jumbo K9,"₹1,245"
"Samsung Galaxy M51 (Electric Blue, 128 GB)","₹25,181"
"Redmi 9 Power (Fiery Red, 128 GB)","₹12,429"
"Vivo Y31 (Racing Black, 128 GB)","₹16,490"
"Tecno POVA (Speed Purple, 64 GB)","₹10,499"
"Tecno POVA (Magic Blue, 128 GB)","₹12,499"
"POCO X3 (Shadow Gray, 128 GB)","₹19,999"
"Redmi Note 9 (Pebble Grey, 128 GB)","₹14,525"
"Apple iPhone SE (Black, 64 GB) (Includes EarPods, Power Adapter)","₹34,999"
"Panasonic Eluga I7 (Black, 16 GB)","₹5,005"
"Apple iPhone XR (White, 64 GB) (Includes EarPods, Power Adapter)","₹43,999"
Samsung Guru Music 2,"₹1,868"
"Tecno Spark 6 Go (Aqua Blue, 64 GB)","₹8,699"
"POCO C3 (Arctic Blue, 64 GB)","₹8,499"
"Mi 10i (Midnight Black, 128 GB)","₹23,378"
"Infinix Note 7 (Aether Black, 64 GB)","₹9,999"
Nokia 110 DS 2020,"₹1,569"
"Infinix Note 7 (Forest Green, 64 GB)","₹9,999"
"Redmi Note 9 Pro (Champagne Gold, 128 GB)","₹14,699"
"Apple iPhone XR (Black, 128 GB) (Includes EarPods, Power Adapter)","₹48,999"
"Redmi Note 9 Pro (Interstellar Black, 128 GB)","₹16,896"
"Realme C15 (Power Blue, 64 GB)","₹10,999"
"Redmi Note 9 Pro (Glacier White, 128 GB)","₹14,357"
"POCO M2 Pro (Two Shades of Black, 64 GB)","₹13,999"
"Realme C15 (Power Silver, 64 GB)","₹10,999"
"Tecno Camon 15 (Dark Jade, 64 GB)","₹10,499"
"POCO M2 Pro (Two Shades of Black, 64 GB)","₹12,999"
"POCO X3 (Cobalt Blue, 64 GB)","₹16,999"
"Redmi Note 9 Pro Max (Interstellar Black, 64 GB)","₹14,999"
"Vivo V20 2021 (Sunset Melody, 128 GB)","₹24,990"
"Tecno Spark Power 2 Air (Cosmic Shine, 32 GB)","₹8,499"
Snexian Rock,"₹1,299"
"Realme X7 (Nebula, 128 GB)","₹19,999"
"POCO M2 Pro (Out of the Blue, 64 GB)","₹13,999"
"Redmi 9 (Carbon Black, 64 GB)","₹9,267"
"POCO M2 Pro (Green and Greener, 128 GB)","₹15,999"
"Realme Narzo 20 Pro (White Knight, 128 GB)","₹16,999"
"Realme 7 Pro (Mirror Blue, 128 GB)","₹19,999"
"Vivo S1 Pro (Mystic Black, 128 GB)","₹18,990"
"Realme X7 Pro (Mystic Black, 128 GB)","₹29,999"
"Realme Narzo 20 Pro (Black Ninja, 128 GB)","₹16,999"
"Realme 7 Pro (Mirror Blue, 128 GB)","₹21,999"
"Motorola G9 (Sapphire Blue, 64 GB)","₹10,999"
Micromax X741,"₹1,195"
Snexian GURU 310,₹610
"Realme C3 (Frozen Blue, 32 GB)","₹8,999"
BlackZone M2,₹649
Micromax X741,"₹1,229"
